county,household_income,employment_rate,economic_security,income_equality,healthcare_access,health_outcomes,provider_access,graduation_rate,higher_education,educational_retention,housing_affordability,community_safety,social_cohesion,child_welfare
Baker,-0.9319600865878407,-0.28514076472975997,0.0523174275732152,-0.5590692684923979,0.5410952157357725,0.13226938711581684,0.08674136417089347,-0.28934787627280206,0.11264076931913515,-0.07862961997620463,1.1452046972168317,-0.25235384116150805,1.8159037308226214,-0.9413820889124717
Benton,0.4648139505856883,1.6409864290980873,1.214926929200249,-2.6450170051763497,1.8483180327944964,1.3840574296674102,1.0032124568287206,0.37823042832124504,2.8756129268968587,0.7301321854932772,-1.7715219551942543,-0.23486621461824045,0.302875281903728,1.2278896811901752
Clackamas,2.3368925013171387,1.1403556156789167,1.703222919883605,0.20589395351484885,1.6287728591754642,1.9445202981506648,0.3617614436134899,0.8616492006134837,1.4989914039956251,0.583084584498824,0.5777358829388686,-0.24163912609954816,-0.5134505631940407,2.0874124580233
Clatsop,-0.0969095654373096,0.7326706385281727,0.4941090381914893,0.6166827531884146,-0.358078297192024,0.7320302423588402,-0.3557694423119678,0.12501107140626183,0.3278828773084485,0.3625131830071496,0.499253131077754,-0.24216851657566518,0.4667962765408438,0.388831732376888
Columbia,1.260422346945664,-0.10518539302038726,0.21508275780100058,-0.013229652765317575,1.7727389187860527,0.7148674579571057,-1.223263202130847,-0.8648464147159449,-0.440458698318482,-0.005105819478978058,1.4866092811744707,-0.23618103723221057,-0.8900066968691256,1.1869600251505048
Coos,-0.7421304450520096,-0.5326365285268349,-0.9242745537934938,-0.5911848726616149,-0.2613819581978482,-0.6222070312073497,0.3342426695599368,-1.6935643100740694,-0.7659774923499337,-0.9241533256942971,-0.1935645247981212,-0.24327675538637517,0.3342011031517846,-0.9209172608926365
Crook,0.9002919131855049,-1.0369165175574793,0.6103699883541926,1.5467159046805388,-0.14814922140620174,-0.45065338546114825,-1.3640934006952625,1.5982873298207074,-0.23939923458823711,0.7668940857418879,-0.6885950346199232,-0.2562394269277322,0.01644257232508729,0.06139448405950832
Curry,-0.3995298445320974,-0.9116711727924602,0.30809151793116457,-1.1430994733195692,0.046935702784342066,0.3583892556680237,0.02222929255416282,-1.002966063942298,-0.7592323785991825,-0.6668200239540067,0.0022082316121954013,-0.22862856957052716,-0.454344151606699,-0.5116207004959105
Deschutes,1.3589123310717877,0.5766010710901925,1.9357448202090117,0.5506850973779556,0.6387033303040422,1.7755936356587618,0.68288436853072,0.6429597560050905,1.421328252545382,0.3625131830071496,-0.4552285028434375,-0.24300250756209724,-0.30003105968398086,1.2483545092100132
Douglas,-0.8443878056201163,-0.5810679263237346,-0.6452482734030051,0.2401129917945216,0.4456754058868199,-0.4673890648741881,-0.38401859693957674,-0.5195472916500592,-0.4248909773419484,-0.5932962234567853,0.44079496683638264,-0.2489156539322951,-0.14074337740199955,-0.04092965603967318
Gilliam,-0.44181672296251745,0.7881748288462374,1.1916747391677096,0.6883551055915004,1.071678178193504,0.30221131742767726,-0.7080417948042018,2.116236014419536,-0.3055106107327229,0.43603698350437614,2.8276158426845712,4.122748016170938,1.027709843369401,0.2660427642578713
Grant,-0.7815725698425651,-2.8641524720042706,0.7498831285494354,-0.829726439547869,0.011924257929067664,-0.056191332840932987,0.1531847824132742,-2.1194332285219954,-1.0428372538346111,-3.7548196448374807,1.554902090525979,-0.2063588982295418,-0.020287927951114493,-0.6548744966347623
Harney,-1.6628311163325187,-1.0316650152782687,-1.0172833139236546,1.1102790166117367,-0.14989546572784793,-0.16929119589035974,0.10346329435469026,-2.0158434916022308,0.18582757692871085,0.10517988126685918,0.9891429694764365,-0.24993070544078574,-0.3770893608426585,-0.5525503565355807
Hood River,0.9325837112596438,1.385892663074369,1.168422549135167,0.8007881186788213,-1.753871054075091,-0.1168957819355168,3.663438623469692,1.0688286744530164,-0.30129890203694915,0.913941686736341,0.32579088783359145,-0.23923361604429955,0.540568347979895,1.0846358850513234
Jackson,0.11360220391267237,0.05051078576994567,-0.04069133255694552,-0.8880928252820698,-0.12136506949035175,0.047645793611271414,0.42593337470475845,0.22860080832602656,0.3163664249135416,0.2522274822613123,-1.5354540413170306,-0.2558250873540526,-0.3232431943463636,-0.12278896811901956
Jefferson,0.2372336593965186,-0.7445558779285026,-2.0171274853229026,0.05967223663420382,-1.9029314183166217,-1.390814205026485,-0.9127182046579845,1.1263785282973309,-0.6432312815229186,0.17870368176408574,0.4419318945331937,-0.2492249507524046,-0.6639074491580161,-0.8390579488132901
Josephine,-0.8356228889999928,-0.6576211512005946,-1.5055793046070107,-0.5667431264332854,-0.07814293525258138,-0.9710153466056606,0.15123247670002984,-0.6116270578009617,-0.48790621316831495,-0.26243912121926843,-2.1934337816521916,-0.24925497682862308,-0.7469718389864527,-1.227889681190181
Klamath,-0.81594026922147,-1.9934903502961294,-1.3195617843466827,-1.1748782146255734,-1.2610647265092747,-0.5546384848958064,0.4186438257353592,-0.7842766193339046,-0.3879643432759078,0.03165608076963261,-0.4317924463106951,-0.24881203240380786,-0.13326539696441334,-1.1255655410909995
Lake,-0.6722417677915518,-1.1027863183725943,-0.017439142524406166,-0.980642228527017,-0.1623745051746748,-1.0292750052022608,-0.4102833500272756,0.8386292590757594,-0.3517955069992566,0.7668940857418879,0.48770878544752916,-0.24327675538637517,1.458697711379655,-1.0846358850513262
Lane,-0.0503171139303377,0.38736016215436136,-0.3662219930125163,-0.8699429579158123,-0.18389891104775993,0.43407333628026307,0.2174297291831279,-0.43897749626801885,1.0952350017776402,-0.26243912121926843,-1.4625520179246296,-0.25565256132923947,-0.3804449077564836,0.7571986367339408
Lincoln,-0.6651683263086451,0.0832787551055212,-0.4127263730775983,-0.09317300486071928,-1.6498074285308428,0.09856451754872839,-0.7692796670946617,0.044441276024221495,-0.21392228229345892,0.21546558201269642,-0.5560142367856534,-0.2562960759974642,-0.24912430558792087,-0.8390579488132901
Linn,0.26375906495741847,0.10003448065266897,-0.43597856311013766,0.6768624075716424,0.9594747003277564,0.11271707711864402,-0.47218548288694157,0.15954098371285008,0.12414797907500492,-0.18891532072204187,-0.06610994709719673,-0.23006923607390223,-0.07215691172965671,0.2046482801983601
Malheur,-1.542582611123106,0.2861512528295211,-1.9938752952903636,-0.6937953515197293,-1.44663826835786,-2.6262999874975925,-1.5469185291473833,0.5969198729296383,-1.5159985974425916,0.6933702852446613,-1.206123805277566,-0.2495326388494513,-0.3295200944561132,-1.4939324454480523
Marion,0.35817413170751994,0.5216068115814223,-0.552239513272841,0.4753081676869106,-0.8224510173649738,-0.4461405662205898,-0.2901314661307384,-0.2202880516596239,-0.48933827355829934,-0.335962921716495,-0.45418185094492197,-0.25010925097053444,-0.2566355391185358,0.6548744966347593
Morrow,0.019340907629590592,0.31710273641692355,-0.6685004634355444,1.7669229837589802,-1.3724223286794563,-2.1529315600025205,-1.2006283266711126,1.6097973005895696,-2.1672386036250466,1.208036888725242,0.46496997225161973,-0.25566585259045305,-0.5463271955913301,0.16371862415868982
Multnomah,1.2518112007925601,1.2694793966467908,0.4011002780613253,-1.3787205098050328,0.65732554990698,1.1543185796643103,1.9144336218843394,-0.427467525499155,2.064843885505876,-0.26243912121926843,-1.7416736911691275,-0.25966489976358104,0.07297447667520116,0.6344096686149242
Polk,0.8728438848224868,0.3733263978504725,-0.4127263730775983,0.42524919037755377,0.7415917443504388,0.5280338163383881,-0.642112201707449,0.09048115909967358,0.9668787614061695,-0.005105819478978058,-0.015074272586829961,-0.24985898302647044,-0.7547139084907837,1.0232414009918123
Sherman,-0.8046381398955215,1.083710310951004,-0.552239513272841,0.8886547440567569,1.8232430090062404,0.4903079763863261,-0.5473409135128148,-0.18575813935303567,-0.9956087717323296,1.208036888725242,0.09376995002406537,-0.1943028665674376,4.028919508601755,-0.3274372483173826
Tillamook,-0.26252035841753646,0.6083549844295746,0.37784808802878594,0.8238763898501275,-0.3150246927129688,0.10732420309760955,-0.09638812366719024,0.1710509544817123,-0.515489063354534,0.2522274822613123,-0.4892880612387292,-0.22427754957898582,0.07454477001351466,0.040929656039670276
Umatilla,-0.07745760135931638,-0.45414416945457503,-0.4127263730775983,-0.4182234965145246,-0.9128997527238157,-1.2474884761752392,-0.9938808452507163,0.44729025293442154,-0.8965916818505106,-0.07862961997620463,0.48234392215770433,-0.24931961399380448,-0.234038941071831,0.06139448405950832
Union,-0.44235491959708645,-0.48342076093711006,-0.691752653468087,-0.05931666877673444,0.6738630246851256,-0.08033430328697883,-0.07114444073236968,0.32068057447693077,0.26173791286670717,0.61984648474744,0.5896508526644412,-0.23715892699035732,1.119489108174204,0.18418345217852497
Wallowa,-0.33879051005931227,-1.6026762968462878,1.4474488295256556,-1.7273755587645423,0.21567316923044078,0.8513336811094253,2.156250444201935,-0.12820828550872138,0.05834868344029123,0.7301321854932772,0.49387724804145494,4.122748016170938,0.013124729794022766,-0.2865075922777094
Wasco,-0.48925491203809773,0.30572097891754274,-0.8777701737284118,1.153397410015764,-0.8406033044216811,-0.43153476012539893,0.45301473681937554,-0.24330799319734994,-0.534098754686402,-0.22567722097065776,0.11029588986893972,-0.2414009805832893,0.01776685291306273,-0.16371862415869273
Washington,2.6501229426362864,1.4860375274352764,1.6799707298510624,0.3820494054450255,1.1088941173156457,1.9436199974490718,0.35944525926412335,0.7235295513871308,1.784455609166275,0.43603698350437614,0.027575880818446977,-0.24300088260681407,-0.9073241025339315,1.7190455536662477
Wheeler,-1.438941316351822,0.11495883169043423,0.9591528388423028,2.021370541859554,-0.3936980639277934,-0.7255900088550895,-0.13764588346380077,-2.2690628485172133,0.04027561692222818,-3.423962542599964,-0.0966584108283041,-0.245140193958303,-2.5107619292959527,-2.9264704068365934
Yamhill,1.3161641412403084,1.134816056521762,0.3545958979962433,0.19935423629328985,-0.05120879730293455,0.426812493494636,-0.3816978921563393,0.6659796975428165,0.3442152392438087,0.21546558201269642,0.3158842034044694,-0.23485684795569872,-0.485625461007396,1.0641710570314853
