GEO_ID,county,household_median_income,household_mean_income,family_median_income,family_mean_income,pct_household_under_10k,pct_household_10k_to_15k,pct_household_15k_to_25k,pct_with_earnings,pct_with_social_security,pct_with_snap_assistance,pct_with_retirement_income,median_household_income_all,median_family_income,median_female_householder_no_spouse,median_nonfamily_household,median_earnings_all,median_earnings_fulltime,median_earnings_male,median_earnings_female
0500000US41001,Baker,51657,74409,66780,93162,6.3,5.2,9.3,60.7,46.8,18.8,31.4,51657,66780,36992,34677,37658,54135,46047,24703
0500000US41003,Benton,72882,97953,106149,130251,7.8,4.1,7.6,78.3,29.9,12.2,25.4,72882,106149,44515,39387,28722,63209,32974,24074
0500000US41005,Clackamas,95740,126719,114385,146311,3.3,2.2,4.7,77.6,33.6,11.1,27.1,95740,114385,54254,54901,48285,67695,58289,40049
0500000US41007,Clatsop,68025,86594,86961,104336,4.0,3.2,8.7,70.2,40.7,15.3,30.7,68025,86961,44500,43249,37993,50898,42334,34510
0500000US41009,Columbia,83265,98502,94162,112011,2.9,3.7,5.3,74.3,39.8,18.0,28.6,83265,94162,49752,46172,43367,60881,53786,33069
0500000US41011,Coos,57563,76312,73947,92315,5.1,5.0,11.5,62.0,49.4,22.5,33.3,57563,73947,42443,31386,33403,49554,41627,27496
0500000US41013,Crook,74969,92863,85708,105807,2.2,3.3,5.5,70.2,42.9,16.3,35.1,74969,85708,51231,44228,40257,58335,48519,36297
0500000US41015,Curry,64300,81737,71283,93637,2.9,3.8,12.8,58.1,56.3,17.9,35.0,64300,71283,39360,32040,37989,59469,46713,27839
0500000US41017,Deschutes,82042,112537,99728,131803,4.3,2.0,5.4,74.5,34.0,10.0,25.9,82042,99728,49024,53783,41848,56990,50894,35578
0500000US41019,Douglas,56440,74494,69056,85577,4.5,5.0,10.7,64.3,46.7,19.9,31.9,56440,69056,39945,33663,34914,49938,42178,28291
0500000US41021,Gilliam,58409,74044,72431,96921,6.4,7.8,10.7,59.6,52.9,16.7,26.3,58409,72431,63000,31797,40431,60824,45324,33188
0500000US41023,Grant,56045,72405,67003,89371,4.1,7.7,9.2,64.0,51.8,13.5,32.8,56045,67003,34681,36548,34399,48895,42794,27974
0500000US41025,Harney,45462,63828,57875,76550,5.3,5.0,9.8,68.8,48.6,22.6,24.8,45462,57875,40101,28573,26949,44766,28775,25217
0500000US41027,Hood River,80254,112036,98112,128236,2.5,3.3,4.7,80.0,31.9,13.9,25.4,80254,98112,46182,48472,39066,49929,44200,34247
