GEO_ID,county,household_median_income,household_mean_income,family_median_income,family_mean_income,pct_household_under_10k,pct_household_10k_to_15k,pct_household_15k_to_25k,pct_with_earnings,pct_with_social_security,pct_with_snap_assistance,pct_with_retirement_income,median_household_income_all,median_family_income,median_female_householder_no_spouse,median_nonfamily_household,median_earnings_all,median_earnings_fulltime,median_earnings_male,median_earnings_female
0500000US41029,Jackson,67690,89037,83081,104815,4.9,3.8,8.0,70.5,39.2,18.0,26.3,67690,83081,45725,39706,37199,50948,43464,31974
0500000US41031,Jefferson,69345,85768,76301,94540,6.4,4.6,6.5,74.1,39.5,25.6,27.7,69345,76301,46667,41750,35732,46901,38896,31575
0500000US41033,Josephine,56068,78355,66158,89090,5.5,4.8,11.0,64.8,45.6,25.0,31.4,56068,66158,34513,32851,31545,48544,36549,26518
0500000US41035,Klamath,57219,75121,69223,88533,7.8,5.7,9.4,68.0,42.1,23.5,25.7,57219,69223,42979,32500,35283,47452,41960,29895
0500000US41037,Lake,54663,67927,74322,86280,7.0,6.9,12.3,64.8,44.5,17.5,24.1,54663,74322,39821,29922,28075,50249,38229,24116
0500000US41039,Lane,65157,87189,84068,105355,5.7,4.5,8.0,74.0,35.0,19.9,25.7,65157,84068,41998,39852,33552,51725,39150,28350
0500000US41041,Lincoln,57794,78457,73678,96101,5.2,5.2,9.0,63.7,49.1,18.9,34.3,57794,73678,46688,37737,32352,50110,35240,29782
0500000US41043,Linn,69523,82759,81297,94239,3.5,3.7,7.4,74.9,35.9,19.4,26.6,69523,81297,46175,39329,40112,53219,47437,31552
0500000US41045,Malheur,48371,63740,61998,76744,7.0,5.0,13.4,71.7,38.8,29.5,20.2,48371,61998,32917,26137,29303,41199,30155,27234
0500000US41047,Marion,70926,91101,84296,104513,3.9,3.3,7.2,76.5,33.6,20.0,24.8,70926,84296,48529,44184,37076,50805,41751,32351
0500000US41049,Morrow,64975,86322,72325,95671,3.9,2.0,9.6,77.7,36.3,21.3,20.4,64975,72325,35568,40495,35398,47340,41729,29245
0500000US41051,Multnomah,83668,115049,109513,143006,4.6,3.9,5.9,81.1,23.9,16.0,18.1,83668,109513,51667,58552,46396,64781,51196,41905
0500000US41053,Polk,77353,102721,91060,113233,4.6,4.7,6.1,72.3,35.8,19.2,29.0,77353,91060,49235,41957,39184,55965,45208,33285
0500000US41055,Sherman,57171,74112,74063,85449,4.8,5.8,11.7,70.3,41.8,20.9,26.0,57171,74063,29583,37917,37990,51827,45083,25000
0500000US41057,Tillamook,63098,81374,73101,97106,4.3,5.0,8.2,63.9,47.8,16.2,32.9,63098,73101,42181,37937,36458,51944,42285,29251
0500000US41059,Umatilla,70322,84404,80919,94916,3.4,4.9,9.1,76.0,33.0,21.3,24.4,70322,80919,44652,39337,36902,49919,43313,31753
0500000US41061,Union,61946,77054,73561,90691,4.8,5.0,9.5,70.7,40.7,20.9,29.6,61946,73561,35341,34048,34551,49954,45344,26286
0500000US41063,Wallowa,62238,84003,76023,97705,4.4,3.7,7.7,71.4,48.2,12.3,27.1,62238,76023,43594,36713,31138,48750,38026,28708
0500000US41065,Wasco,61316,87994,78408,112326,3.6,4.7,9.8,71.6,39.0,24.2,28.1,61316,78408,46000,32208,36914,50819,44044,27973
0500000US41067,Washington,100121,127688,119312,148906,3.0,1.9,4.4,83.0,24.8,10.3,19.6,100121,119312,65135,62030,51428,70414,61089,41991
0500000US41069,Wheeler,50774,62698,63125,77873,2.2,4.5,14.4,59.5,61.1,16.5,27.2,50774,63125,58750,32083,30463,41118,28750,30950
0500000US41071,Yamhill,80125,102856,95708,118961,4.1,3.5,6.9,74.8,35.1,16.5,26.5,80125,95708,49994,42174,39142,55800,46226,33057
